,English,Kanji,Kana,Romaji
0,to meet,会う, あう ,au
1,blue,青, あお ,ao
2,blue,青い, あおい ,aoi
3,red,赤, あか ,aka
4,red,赤い, あかい ,akai
5,bright,明るい, あかるい ,akarui
6,autumn,秋, あき ,aki
7,"to open,to become open",開く, あく ,aku
8,to open,開ける, あける ,akeru
9,to give,上げる, あげる ,ageru
10,morning,朝, あさ ,asa
11,breakfast,朝御飯, あさごはん ,asagohan
12,day after tomorrow,-,あさって ,asatte
13,"foot,leg",足, あし ,ashi
14,tomorrow,明日, あした ,ashita
15,over there,-,あそこ ,asoko
16,"to play,to make a visit",遊ぶ, あそぶ ,asobu
17,warm,暖かい, あたたかい ,atatakai
18,head,頭, あたま ,atama
19,new,新しい, あたらしい ,atarashii
20,there,-,あちら ,achira
21,hot,暑い, あつい ,atsui
22,hot to the touch,熱い, あつい ,atsui
23,"kind, deep, thick",厚い, あつい ,atsui
24,over there,-,あっち ,acchi
25,afterwards,後, あと ,ato
26,you,-,あなた ,anata
27,(humble) older brother,兄, あに ,ani
28,(humble) older sister,姉, あね ,ane
29,that over there,-,あの ,ano
30,um...,-,あの ,ano
31,apartment,-,アパート ,apāto
32,"to bathe,to shower",-,あびる ,abiru
33,dangerous,危ない, あぶない ,abunai
34,sweet,甘い, あまい ,amai
35,not very,-,あまり ,amari
36,rain,雨, あめ ,ame
37,candy,飴, あめ ,ame
38,to wash,洗う, あらう ,arau
39,"to be,to have (used for inanimate objects)",-,ある ,aru
40,to walk,歩く, あるく ,aruku
41,that,-,あれ ,are
42,good,-,いい / よい ,ii / yoi
43,no,-,いいえ ,iie
44,to say,言う, いう ,iu
45,house,家, いえ ,ie
46,how,-,いかが ,ikaga
47,to go,行く, いく ,iku
48,"how many?,how old?",-,いくつ ,ikutsu
49,how much?,-,いくら ,ikura
50,pond,池, いけ ,ike
51,medical doctor,医者, いしゃ ,isha
52,chair,-,いす ,isu
53,"busy,irritated",忙しい, いそがしい ,isogashii
54,painful,痛い, いたい ,itai
55,one,一, いち ,ichi
56,"(1) one day, (2) first of month",一日, いちにち ,ichinichi
57,"best,first",-,いちばん ,ichiban
58,when,-,いつ ,itsu
59,"five days, fifth day",五日, いつか ,itsuka
60,together,一緒, いっしょ ,iっsho
61,five,五つ, いつつ ,itsutsu
62,always,-,いつも ,itsumo
63,dog,犬, いぬ ,inu
64,now,今, いま ,ima
65,meaning,意味, いみ ,imi
66,(humble) younger sister,妹, いもうと ,imōto
67,unpleasant,嫌, いや ,iya
68,entrance,入口, いりぐち ,iriguchi
69,"to be, to have (used for people and animals)",居る, いる ,iru
70,to need,要る, いる ,iru
71,to put in,入れる, いれる ,ireru
72,colour,色, いろ ,iro
73,various,-,いろいろ ,iroiro
74,on top of,上, うえ ,ue
75,behind,後ろ, うしろ ,ushiro
76,"thin,weak",薄い, うすい ,usui
77,song,歌, うた ,uta
78,to sing,歌う, うたう ,utau
79,to be born,生まれる, うまれる ,umareru
80,sea,海, うみ ,umi
81,to sell,売る, うる ,uru
82,"noisy,annoying",煩い, うるさい ,urusai
83,jacket,上着, うわぎ ,uwagi
84,picture,絵, え ,e
85,movie,映画, えいが ,eiga
86,cinema,映画館, えいがかん ,eigakan
87,English language,英語, えいご ,eigo
88,yes,-,ええ ,ee
89,station,駅, えき ,eki
90,elevator,-,エレベーター ,erebētā
91,pencil,鉛筆, えんぴつ ,enpitsu
92,delicious,-,おいしい ,oishii
93,many,多い, おおい ,ōi
94,big,大きい, おおきい ,ōkii
95,big,大きな, おおきな ,ōkina
96,great number of people,大勢, おおぜい ,ōzei
97,(honorable) mother,お母さん, おかあさん ,okaasan
98,"sweets, candy",お菓子, おかし ,okashi
99,money,お金, おかね ,okane
100,to get up,起きる, おきる ,okiru
101,to put,置く, おく ,oku
102,(honorable) wife,奥さん, おくさん ,okusan
